id,date,incident_type,severity,status,description,reported_by,created_at
1,2025-10-01,Phishing,High,Open,Suspicious email targeting HR department,user1,
2,2025-10-02,Malware,Critical,Investigating,Ransomware detected on server,user2,
3,2025-10-03,DDoS,Medium,Resolved,Traffic spike affecting website performance,user3,
4,2025-10-04,Data Leak,High,Open,Sensitive data exposed via cloud misconfiguration,user4,
5,2025-10-05,Insider Threat,Critical,Investigating,Unauthorized access to payroll system,user5,
6,2025-10-06,Phishing,Low,Closed,Spam email detected, no user impacted,user6,
7,2025-10-07,Malware,Medium,Resolved,Trojan removed from workstation,user7,
8,2025-10-08,DDoS,High,Open,API endpoint under sustained attack,user8,
9,2025-10-09,Phishing,Critical,Investigating,Spear-phishing attempt on executives,user9,
10,2025-10-10,Ransomware,Critical,Open,Encrypted files on finance servers,user10,
11,2025-10-11,Data Leak,Medium,Resolved,Temporary exposure of non-sensitive files,user1,
12,2025-10-12,Malware,High,Open,Malicious software detected in download,user2,
13,2025-10-13,Phishing,Medium,Closed,Email scam reported by user,user3,
14,2025-10-14,DDoS,Low,Resolved,Short-term website downtime,user4,
15,2025-10-15,Insider Threat,High,Investigating,Suspicious access pattern detected,user5,
16,2025-10-16,Ransomware,Critical,Open,Workstation encrypted, recovery in progress,user6,
17,2025-10-17,Malware,Medium,Closed,Adware found and removed,user7,
18,2025-10-18,Phishing,High,Open,Credential phishing attempt,user8,
19,2025-10-19,DDoS,Critical,Investigating,Distributed attack affecting APIs,user9,
20,2025-10-20,Data Leak,High,Open,Sensitive HR files accessible externally,user10,
21,2025-10-21,Insider Threat,Medium,Resolved,Internal system misuse logged,user1,
22,2025-10-22,Malware,High,Open,Ransomware detected in shared drive,user2,
23,2025-10-23,Phishing,Low,Closed,User reported suspicious link, no compromise,user3,
24,2025-10-24,DDoS,Medium,Resolved,Website traffic surge mitigated,user4,
25,2025-10-25,Ransomware,Critical,Investigating,Finance servers encrypted,user5,
26,2025-10-26,Data Leak,High,Open,Private documents exposed,user6,
27,2025-10-27,Malware,Medium,Resolved,Spyware detected and removed,user7,
28,2025-10-28,Phishing,High,Open,Targeted phishing attempt,user8,
29,2025-10-29,DDoS,Critical,Investigating,Public API under attack,user9,
30,2025-10-30,Insider Threat,High,Open,Unauthorized access to financial data,user10,
31,2025-10-31,Malware,Medium,Closed,Trojan found on employee workstation,user1,
32,2025-11-01,Phishing,Low,Resolved,Phishing email flagged by system,user2,
33,2025-11-02,DDoS,Medium,Open,Traffic anomaly detected,user3,
34,2025-11-03,Ransomware,Critical,Investigating,Server encryption ongoing,user4,
35,2025-11-04,Data Leak,High,Open,Exposed sensitive customer information,user5,
36,2025-11-05,Malware,Medium,Resolved,Virus detected and cleaned,user6,
37,2025-11-06,Phishing,High,Open,Targeted phishing email to HR,user7,
38,2025-11-07,DDoS,Critical,Investigating,Sustained attack on website,user8,
39,2025-11-08,Insider Threat,High,Open,Suspicious access to internal systems,user9,
40,2025-11-09,Ransomware,Critical,Open,Encrypted files on network drives,user10,
41,2025-11-10,Malware,Medium,Closed,Adware removed from laptops,user1,
42,2025-11-11,Phishing,High,Investigating,Spear-phishing targeting executives,user2,
43,2025-11-12,DDoS,Medium,Resolved,Website traffic attack mitigated,user3,
44,2025-11-13,Data Leak,High,Open,Internal files accidentally shared,user4,
45,2025-11-14,Insider Threat,Critical,Investigating,Unauthorized data export detected,user5,
46,2025-11-15,Malware,Medium,Open,Malicious program detected on endpoint,user6,
47,2025-11-16,Phishing,Low,Closed,Suspicious email reported, no impact,user7,
48,2025-11-17,DDoS,High,Open,Attack affecting public API,user8,
49,2025-11-18,Ransomware,Critical,Investigating,File encryption ongoing on servers,user9,
50,2025-11-19,Data Leak,High,Open,Sensitive client info accidentally leaked,user10;
