dataset_name,category,source,last_updated,record_count,file_size_mb
Threat Intel Logs Q1 2025,Threat Intelligence,External Threat Feed,2025-11-01,250000,120.5
Corporate Network Logs Apr-May 2025,Network Logs,Internal SIEM,2025-10-28,1500000,950.0
Endpoint Security Events Mar 2025,Endpoint Monitoring,Internal EDR,2025-10-30,500000,320.2
Phishing Campaign Data Oct 2025,Threat Intelligence,External Security Vendor,2025-11-10,12000,5.5
Firewall Logs Sep-Oct 2025,Network Logs,Internal Firewall,2025-10-25,800000,480.0
Malware Samples Archive,Threat Intelligence,Open Malware Repo,2025-11-12,40000,250.7
User Access Logs Oct 2025,Access Logs,Internal AD,2025-11-05,1000000,600.0
Dark Web Threat Reports,Threat Intelligence,External Dark Web Feed,2025-10-20,8500,15.3
VPN Connection Logs Sep 2025,Network Logs,Internal VPN,2025-10-15,450000,280.0
Email Security Logs Oct 2025,Endpoint Monitoring,Internal Email Gateway,2025-11-08,300000,180.2
Internal Asset Inventory 2025,Asset Management,Internal CMDB,2025-11-01,7500,12.0
IoT Device Logs Sep-Oct 2025,Endpoint Monitoring,Internal IoT Platform,2025-10-30,120000,60.5
Web Proxy Logs Q3-Q4 2025,Network Logs,Internal Proxy,2025-11-03,950000,450.0
Threat Intelligence Alerts Nov 2025,Threat Intelligence,External Threat Feed,2025-11-13,15000,10.7
Security Patch Compliance Oct 2025,Compliance,Internal SCCM,2025-11-05,5000,8.3
Database Access Logs Sep-Oct 2025,Access Logs,Internal DB,2025-10-28,600000,350.0
Cloud Access Logs Oct 2025,Access Logs,Internal Cloud Platform,2025-11-09,400000,210.0
Incident Reports Archive 2025,Incident Management,Internal SOC,2025-10-30,850,3.2
External Vulnerability Feeds Nov 2025,Threat Intelligence,External Security Vendor,2025-11-12,20000,18.0
Employee Login Attempts Oct 2025,Access Logs,Internal AD,2025-11-06,1200000,650.0
Data Loss Prevention Logs Sep 2025,Endpoint Monitoring,Internal DLP,2025-10-25,250000,140.0
SIEM Correlation Rules 2025,Network Logs,Internal SIEM,2025-11-02,1500,5.0
Web Application Firewall Logs Oct 2025,Network Logs,Internal WAF,2025-11-04,500000,300.0
Endpoint Antivirus Scan Results Oct 2025,Endpoint Monitoring,Internal EDR,2025-11-07,600000,350.0
External Malware Reports Nov 2025,Threat Intelligence,External Malware Repo,2025-11-10,18000,12.5
Privilege Escalation Alerts Sep-Oct 2025,Access Logs,Internal AD,2025-10-29,3500,2.1
Security Awareness Quiz Results Q3 2025,Compliance,Internal LMS,2025-10-31,2000,1.2
Internal Vulnerability Scan Reports Oct 2025,Threat Intelligence,Internal Scanner,2025-11-06,7500,15.0
Cloud Security Posture Data Oct 2025,Compliance,Internal Cloud Platform,2025-11-09,5000,9.8
IoT Vulnerability Alerts Sep 2025,Threat Intelligence,Internal IoT Platform,2025-10-20,1200,1.5
Network Configuration Backup Sep 2025,Network Logs,Internal Network,2025-10-15,350,4.0
Privileged Account Audit Oct 2025,Access Logs,Internal AD,2025-11-05,2200,3.3
External Phishing Reports Nov 2025,Threat Intelligence,External Security Vendor,2025-11-11,9000,6.2
Application Error Logs Sep-Oct 2025,Network Logs,Internal App Platform,2025-10-28,150000,80.0
Security Incident Tickets 2025,Incident Management,Internal SOC,2025-11-01,1200,7.5
Patch Deployment Logs Oct 2025,Compliance,Internal SCCM,2025-11-06,3500,12.0
VPN Anomaly Detection Sep 2025,Network Logs,Internal VPN,2025-10-18,45000,25.0
Email Phishing Simulation Results Q3 2025,Compliance,Internal SOC,2025-10-30,1000,1.1
Privileged Session Logs Sep-Oct 2025,Access Logs,Internal PAM,2025-10-27,7500,4.8
External Threat Bulletin Nov 2025,Threat Intelligence,External Dark Web Feed,2025-11-12,8000,7.0
Endpoint Configuration Audit Oct 2025,Endpoint Monitoring,Internal EDR,2025-11-08,220000,125.0
Database Change Logs Sep-Oct 2025,Access Logs,Internal DB,2025-10-26,60000,40.0
Network Traffic Anomalies Sep 2025,Network Logs,Internal Firewall,2025-10-20,95000,55.0
Cloud Resource Inventory Oct 2025,Asset Management,Internal Cloud Platform,2025-11-03,1800,10.0
Internal Security Reports 2025,Incident Management,Internal SOC,2025-11-02,3000,18.0
IoT Device Security Audit Oct 2025,Endpoint Monitoring,Internal IoT Platform,2025-11-04,950,5.0
Threat Actor Activity Reports Nov 2025,Threat Intelligence,External Dark Web Feed,2025-11-12,12000,10.5
Endpoint Patch Status Oct 2025,Compliance,Internal EDR,2025-11-07,180000,95.0
Application Usage Logs Sep-Oct 2025,Network Logs,Internal App Platform,2025-10-28,75000,38.0
Firewall Rule Change Logs Sep-Oct 2025,Network Logs,Internal Firewall,2025-10-25,22000,12.5
User Permission Changes Oct 2025,Access Logs,Internal AD,2025-11-06,1200,1.8
Internal Threat Analysis Reports 2025,Threat Intelligence,Internal SOC,2025-11-05,3500,20.0
Cloud Security Alerts Oct 2025,Threat Intelligence,Internal Cloud Platform,2025-11-09,4200,25.0
Endpoint Security Policy Updates Oct 2025,Compliance,Internal EDR,2025-11-07,1800,2.5
IT Asset Health Logs Sep-Oct 2025,Asset Management,Internal CMDB,2025-10-27,3200,18.5
Database Performance Metrics Oct 2025,Access Logs,Internal DB,2025-11-03,25000,30.0
Email Gateway Logs Oct 2025,Network Logs,Internal Email Gateway,2025-11-08,200000,110.0
Internal SOC Investigation Logs 2025,Incident Management,Internal SOC,2025-11-06,800,5.2
Cloud Backup Reports Sep-Oct 2025,Asset Management,Internal Cloud Platform,2025-10-28,900,6.0
